ID,Name,Address,Rating,Rating_Count,Open_Close,Description,Latitude,Longtitude,Sessional,TypeTravel,TourID,Ordinal_Numbers
11,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095448051,108.44890716765987,Sáng,Tham quan,1,2
12,Hồ Tuyền Lâm,"Phường 4, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.6,1743,Cả ngày,Hồ nước nhân tạo rộng lớn nằm giữa rừng cây. Nơi đây nổi tiếng với cảnh quan tươi đẹp giữa thiên nhiên thanh tĩnh.,11.899537298569136,108.43066720945727,Chiều,Tham quan,1,3
13,Khu du lịch Thác Datanla,"QL20 Đèo Prenn, Phường 3, Thành phố Đà Lạt, Lâm Đồng 66000, Việt Nam",4.3,18838,07:00–17:30,"Khu thắng cảnh nhộn nhịp có nhiều thác nước nhỏ, tàu lượn siêu tốc, tuyến cáp treo và các con đường mòn đi bộ.",11.904095469431926,108.44943116765909,Chiều,Vui chơi,1,4
14,Sân bay Liên Khương,"QL20, Liên Nghĩa, Đức Trọng, Lâm Đồng, Việt Nam",4.1,2897,Cả ngày,"Cảng hàng không nhỏ, ko có check in online trước khi đến, nếu đi quốc nội vần có mặt tại quầy trước 1 tiếng và xuất phát từ Đà Lạt trước 2 tiếng so với giờ bay.",11.748841041358018,108.36833661183407,Tối,Vui chơi,1,5
15,Điểm Du Lịch Chuồn Chuồn,"thôn 5, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,543,07:00–22:00,"Khu du lịch Chuồn Chuồn cách thành phố Dalat tâm 22km, đi theo đường Làng hoa Vạn Thành… đi qua đèo Tà Nung , Chuồn Chuồn thuộc Mê Linh gần cfe Mê Linh luôn nè.. không gian rất là rộng lớn, với nhiều tầng chill, mình đi trễ quá, chỉ đứng được bên dưới chân thôi, nhưng thấy rất đẹp rồi, hẹn 1 lần không xa mình sẽ ghé lai quán",11.889224765971237,108.34929455416483,Sáng,Ăn uống ,2,1
16,Chùa Linh Ẩn,"Đường Ba Đình, TT. Nam Ban, Lâm Hà, Lâm Đồng, Việt Nam",4.7,3014,Cả ngày,Một ngôi chùa tuyệt vời. Không gian yên tĩnh và linh thiên. Nguồn năng lượng mạnh mẽ và tốt đẹp. Nhóm chúng tôi thống nhất với nhau khi cả 4 người đều cảm thấy khoẻ hơn và lòng mình an yên.,11.82464361178215,108.33354888115177,Sáng,Tham quan,2,2
17,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.939592819778515,108.44516872533016,Sáng,Tham quan,2,3
18,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095448051,108.44890716765987,Trưa,Tham quan,2,4
19,Hồ Tuyền Lâm,"Phường 4, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.6,1743,Cả ngày,Hồ nước nhân tạo rộng lớn nằm giữa rừng cây. Nơi đây nổi tiếng với cảnh quan tươi đẹp giữa thiên nhiên thanh tĩnh.,11.899537298569136,108.43066720945727,Chiều,Tham quan,2,5
20,Thác Voi,"R8FM+CWH, TT. Nam Ban, Lâm Hà, Lâm Đồng, Việt Nam",4.3,293,Cả ngày,"Một thác nước tại Lâm Hà, khá xa Đà Lạt. Ngay cạnh chùa linh ẩn, lúc trước bán vé tham quan, hiện đang tạm đóng cửa.",11.823760910051512,108.44890716765987,Chiều,Tham quan,2,6
21,Chợ Đêm Đà Lạt,"6b Đường Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng 690000, Việt Nam",4.2,11479,Cả ngày,"Khu chợ tấp nập các quầy hàng bán đồ gia dụng, đồ khô và món ăn địa phương chế biến sẵn.",11.941583807940448,108.43727881250993,Tối,Ăn uống ,2,7
22,Hồ Xuân Hương,"Phường 9, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.7,1592,Cả ngày,"Hồ nhân tạo hình trăng lưỡi liềm từ 1919 mang tên một nhà thơ vượt ngoài khuôn phép là nơi lý tưởng để ""trốn"" khỏi thành phố.",11.958588928284103,108.47500356765974,Tối,Tham quan,2,8
23,Nhà Hàng Thủy Tạ,"2 Đ. Trần Quốc Toản, Phường 4, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.9,1913,07:00–22:00,"Nhà hàng yên tĩnh này nhìn ra hồ, có chỗ ngồi ngoài trời, phục vụ món ăn và cà phê Việt Nam.",11.97824230729447,108.44199946765943,Tối,Ăn uống ,2,9
24,Cầu vàng Đà Lạt ,"WGW7+C67, Đường Tập, Đoàn 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,27,07:00–17:30,"Quán rộng mát mẻ, nước ngon, nhân viên dễ thương. Sẽ ghé lại và giới thiệu bạn bè. Giá vé 100k/ng bao gồm nước và phí vào cổng so với mặt bằng chung là quá ổn áp",11.946245321396203,108.51304649649481,Sáng,Ăn uống ,2,1
25,Cánh đồng hoa Cẩm Tú Cầu,"Xã, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.1,4047,07:00–22:00,Vườn hoa có lối đi và đài ngắm cảnh nhìn ra cánh đồng cẩm tú cầu xanh nở rộ.,11.946903017366937,108.51349303882415,Sáng,Tham quan,2,2
26,Nhà thờ Domaine de Marie,"1 Ngô Quyền, Phường 6, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.5,6084,07:00–17:30,"Nhà thờ màu hồng nổi tiếng, tọa lạc trong khung cảnh yên bình, có khu vườn đẹp và cửa hàng nhỏ.",11.949671237845726,108.43024714907618,Sáng,Tham quan,2,3
27,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.944669822509159,108.49941556089128,Chiều,Tham quan,2,4
28,Khu du lịch Thác Datanla,"QL20 Đèo Prenn, Phường 3, Thành phố Đà Lạt, Lâm Đồng 66000, Việt Nam",4.3,18838,07:00–17:30,"Khu thắng cảnh nhộn nhịp có nhiều thác nước nhỏ, tàu lượn siêu tốc, tuyến cáp treo và các con đường mòn đi bộ.",11.904095469431926,108.44943116765909,Chiều,Vui chơi,2,5
29,Nông Trại Cún Puppy Farm,"Cam Ly, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,6981,07:00–22:00,"Khu vườn bên sườn đồi có trang trại cà chua, những cánh đồng hoa cùng hoạt động hái dâu và vui chơi cùng chó.",11.963284708823267,108.38910414067186,Sáng,Vui chơi,2,1
30,Chợ Nông Sản Đà Lạt,"8 Tự Phước, Phường 11, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.0,101,07:00–22:00,"Trang trại trồng dâu Tây và cà chua. Có hồ cá koi nhỏ nhỏ. Về vườn dâu trong nhà lưới không phải là hiện đại, nhưng cũng có trang bị hệ thống tưới nhỏ giọt.",11.9444170261927,108.49338009649479,Sáng,Tham quan,2,2
31,Cổng trời Bali đà lạt ( GreenHills ),"3 Bis Đường Đống Đa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.6,1481,07:00–22:00,"Không gian không rộng lắm nhưng rất đẹp để chụp ảnh. Vé 100k/ người, được free 1 ly nước tự chọn, từ 50k đến 70k. Nhân viên hỗ trợ chụp ảnh. Điểm trừ là chờ nước uống và chờ nhân viên hỗ trợ chụp hình khá lâu vì khách đông.",11.923739543271536,108.44471819649456,Sáng,Tham quan,2,3
32,Sân bay Liên Khương,"QL20, Liên Nghĩa, Đức Trọng, Lâm Đồng, Việt Nam",4.1,2897,Cả ngày,"Cảng hàng không nhỏ, ko có check in online trước khi đến, nếu đi quốc nội vần có mặt tại quầy trước 1 tiếng và xuất phát từ Đà Lạt trước 2 tiếng so với giờ bay.",11.748841041358018,108.36833661183407,Trưa,Vui chơi,2,4
33,Cầu vàng Đà Lạt ,"WGW7+C67, Đường Tập, Đoàn 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,27,07:00–17:30,"Quán rộng mát mẻ, nước ngon, nhân viên dễ thương. Sẽ ghé lại và giới thiệu bạn bè. Giá vé 100k/ng bao gồm nước và phí vào cổng so với mặt bằng chung là quá ổn áp",11.946245321396203,108.51304649649481,Sáng,Ăn uống ,3,1
34,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.944669822509159,108.49941556089128,Sáng,Tham quan,3,2
35,Nhà thờ Domaine de Marie,"1 Ngô Quyền, Phường 6, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.5,6084,07:00–17:30,"Nhà thờ màu hồng nổi tiếng, tọa lạc trong khung cảnh yên bình, có khu vườn đẹp và cửa hàng nhỏ.",11.949671237845726,108.43024714907618,Chiều,Tham quan,3,3
36,Khu du lịch Thúy Thuận,"Tổ 13, Khu 1, Tp. Đà Lạt, Lâm Đồng 710600, Việt Nam",4.5,648,Cả ngày,"Giá vé hợp lý, nhân viên rất thân thiện và nhiệt tình, có cho thuê đồ đẹp chụp hình luôn nha. Có dịp mình sẽ quay lại.",11.91301494586547,108.33879608115294,Tối,Ăn uống ,3,4
37,Chợ Nông Sản Đà Lạt,"8 Tự Phước, Phường 11, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.0,101,07:00–22:00,"Trang trại trồng dâu Tây và cà chua. Có hồ cá koi nhỏ nhỏ. Về vườn dâu trong nhà lưới không phải là hiện đại, nhưng cũng có trang bị hệ thống tưới nhỏ giọt.",11.9444170261927,108.49338009649479,Sáng,Tham quan,3,1
38,Thác Pongour,"Đức Trọng, Lâm Đồng, Việt Nam",4.3,862,Cả ngày,"Thác tuyệt đẹp đổ nước xuống những tầng đá, nằm giữa những khu vườn kiểng có các quầy hàng.",11.689900948283853,108.26571786091701,Sáng,Tham quan,3,2
39,Dinh Bảo Đại I,"Trần Quang Diệu, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.3,5803,07:00–17:30,"Dinh thự đồ sộ kiểu Âu giữa rừng thông, từng là nơi ở của vị vua cuối cùng ở Việt Nam.",11.944514129577382,108.46969936765939,Sáng,Tham quan,4,1
40,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.939592819778515,108.44516872533016,Trưa,Tham quan,4,2
41,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095448051,108.44890716765987,Chiều,Tham quan,4,3
42,Buffet rau - Thế giới rau ngon,"17 Đ. Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.2,185,07:00–17:30,"Quán rộng rãi, nhân viên cực dễ thương nhiệt tình từ anh bảo vệ tới bạn phục vụ. Quầy rau xanh tươi và nhiều sốt chấm. Tuy nhiên nước lẩu không đầu tư lắm, cảm giác hương liệu và bột nêm nhiều.",11.942312327720094,108.43687490370117,Tối,Ăn uống ,4,4
43,Cầu vàng Đà Lạt ,"WGW7+C67, Đường Tập, Đoàn 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,27,07:00–17:30,"Quán rộng mát mẻ, nước ngon, nhân viên dễ thương. Sẽ ghé lại và giới thiệu bạn bè. Giá vé 100k/ng bao gồm nước và phí vào cổng so với mặt bằng chung là quá ổn áp",11.946245321396203,108.51304649649481,Sáng,Ăn uống ,4,1
44,Cánh đồng hoa Cẩm Tú Cầu,"Xã, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.1,4047,07:00–22:00,Vườn hoa có lối đi và đài ngắm cảnh nhìn ra cánh đồng cẩm tú cầu xanh nở rộ.,11.946903017366937,108.51349303882415,Sáng,Tham quan,4,2
45,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.944669822509159,108.49941556089128,Chiều,Tham quan,4,3
46,Khu du lịch Lang Biang,"305 Langbiang, Thị trấn Lạc Dương, Lạc Dương, Lâm Đồng, Việt Nam",4.1,6554,07:00–22:00,"Núi Langbiang Đà Lạt là một trong những địa điểm tham quan, du lịch lâu đời bậc nhất tại Thành phố Đà Lạt. Không những vậy, ngọn núi này được mệnh danh là “nóc nhà của Đà Lạt”. Đứng trên đỉnh núi quý du khách có thể ngắm nhìn toàn cảnh Thành phố sương mù ở phía xa xa. Với một khung cảnh tuyệt đẹp, rất thơ mộng và lãng mạn. Không chỉ có quan cảnh đẹp, thơ mộng và lung linh.",12.02634354146803,108.42494119490574,Chiều,Tham quan,4,4
47,Nhà thờ Domaine de Marie,"1 Ngô Quyền, Phường 6, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.5,6084,07:00–17:30,"Nhà thờ màu hồng nổi tiếng, tọa lạc trong khung cảnh yên bình, có khu vườn đẹp và cửa hàng nhỏ.",11.949671237845726,108.43024714907618,Chiều,Tham quan,4,5
48,Chợ Nông Sản Đà Lạt,"8 Tự Phước, Phường 11, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.0,101,07:00–22:00,"Trang trại trồng dâu Tây và cà chua. Có hồ cá koi nhỏ nhỏ. Về vườn dâu trong nhà lưới không phải là hiện đại, nhưng cũng có trang bị hệ thống tưới nhỏ giọt.",11.9444170261927,108.49338009649479,Sáng,Tham quan,4,1
49,Vườn hoa thành phố Đà Lạt,"02 Đ. Trần Nhân Tông, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,1450,07:00–22:00,"Một không gian rộng rãi và đẹp ngay trung tâm TP Đà lạt, ngay sát bờ hồ xuân hương, cũng có dịp đến đây nhiều lần với các bạn SInh viên Trường ĐH lâm nghiệp phân hiệu đồng Nai mỗi lần dẫn các bạn đi thực tập về cảnh quan, không chỉ riêng ở đây mà toàn bộ TP đà lạt cũng luôn trần đây sắc hoa đẹp và không khí 1 ngày bốn mùa thật là tuyệt cho nhưng ai muốn thay đổi cái không khí oi ả nhộn nhịp chốn thành phố.",11.950290019059624,108.44983637791157,Sáng,Vui chơi,4,2
50,Cổng trời Bali đà lạt ( GreenHills ),"3 Bis Đường Đống Đa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.6,1481,07:00–22:00,"Không gian không rộng lắm nhưng rất đẹp để chụp ảnh. Vé 100k/ người, được free 1 ly nước tự chọn, từ 50k đến 70k. Nhân viên hỗ trợ chụp ảnh. Điểm trừ là chờ nước uống và chờ nhân viên hỗ trợ chụp hình khá lâu vì khách đông.",11.923739543271536,108.44471819649456,Trưa,Tham quan,4,3
51,Cổng trời Bali đà lạt ( GreenHills ),"3 Bis Đường Đống Đa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.6,1481,07:00–22:00,"Không gian không rộng lắm nhưng rất đẹp để chụp ảnh. Vé 100k/ người, được free 1 ly nước tự chọn, từ 50k đến 70k. Nhân viên hỗ trợ chụp ảnh. Điểm trừ là chờ nước uống và chờ nhân viên hỗ trợ chụp hình khá lâu vì khách đông.",11.923739543271536,108.44471819649456,Sáng,Tham quan,5,1
52,Quán cà phê Wonderland,"Đèo, Mimosa, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,213,07:00–22:00,"Quán có không gian mở, ít cây to nên rất nắng, quán chỉ có một mặt hướng ra mặt đường nên hạn chế tầm nhìn bao quát xung quanh, trang trí nhiều tiểu cảnh từ cổng lên trên quán để sống ảo nhưng đẹp nhất vẫn là chụp lấy xuống con đường và đồi thông. Quán có vẻ hơi xuống cấp, nhà VS quá nhỏ và chưa được sạch. ",11.908133253543559,108.44890716765987,Sáng,Ăn uống ,5,2
53,Hầm Rượu Vang Vĩnh Tiến,"Vạn Thành, Phường 5, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.7,44,07:00–22:00,Điểm đến lí tưởng cho những ai muốn tìm hiểu về Rượu Vang.,11.948620012423662,108.4030355676595,Sáng,Tham quan,5,3
54,Chùa Tàu (Thiên Vương Cổ Sát),"31c Khe Sanh, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,304,07:00–17:30,"Một ngôi chùa cổ kính, tôi được biết đến ngôi Chùa này vào thập niên 90 và sự nổi tiếng của chiếc bàn xoay. Ngôi Chùa được tọa lạc ngay đầu đèo và 1 đỉnh núi, được bao quanh bởi hàng thông già cao ngút, nên nơi đây rất thoáng mát và trong lành, bạn sẽ cảm nhận được khi đến viếng Chùa lúc trưa nắng.",11.927918846139509,108.4602847676593,Trưa,Tham quan,5,4
55,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.939592819778515,108.44516872533016,Chiều,Tham quan,5,5
56,Phân viện sinh học Đà Lạt - Lâu đài Chocolate,"116 Xô Viết Nghệ Tĩnh, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,826,07:00–17:30,Viện nghiên cứu khoa học thì đang sửa chữa. Nhưng mà sẽ thấy 1 tờ giấy dán ngay chỗ cổng là khu tham quan chocolate vẫn hoạt động bình thường.,11.97824230729447,108.4216122234828,Chiều,Tham quan,5,6
58,Cồng chiêng Lang Biang,"312 Langbiang, Thị trấn Lạc Dương, Lạc Dương, Lâm Đồng, Việt Nam",4.0,161,07:00–22:00,"Múa cồng chiêng nhìn thú vị với vui lắm, mấy anh chị múa ở đây đẹp xĩu mà có cái giao lưu trong nhà vòm nên khói quá chờiii",12.018671598205495,108.42307176859433,Tối,Vui chơi,5,7
59,Khu du lịch Madagui,"Km 152, QL20, khu phố 1, Đạ Huoai, Lâm Đồng, Việt Nam",4.1,3277,Cả ngày,Không,11.419999584578456,108.44890716765987,Trưa,Vui chơi,6,1
60,Khu du lịch Lang Biang,"305 Langbiang, Thị trấn Lạc Dương, Lạc Dương, Lâm Đồng, Việt Nam",4.1,6554,07:00–22:00,"Núi Langbiang Đà Lạt là một trong những địa điểm tham quan, du lịch lâu đời bậc nhất tại Thành phố Đà Lạt. Không những vậy, ngọn núi này được mệnh danh là “nóc nhà của Đà Lạt”. Đứng trên đỉnh núi quý du khách có thể ngắm nhìn toàn cảnh Thành phố sương mù ở phía xa xa. Với một khung cảnh tuyệt đẹp, rất thơ mộng và lãng mạn. Không chỉ có quan cảnh đẹp, thơ mộng và lung linh.",12.02634354146803,108.42494119490574,Chiều,Tham quan,6,1
61,Phân viện sinh học Đà Lạt - Lâu đài Chocolate,"116 Xô Viết Nghệ Tĩnh, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,826,07:00–17:30,Viện nghiên cứu khoa học thì đang sửa chữa. Nhưng mà sẽ thấy 1 tờ giấy dán ngay chỗ cổng là khu tham quan chocolate vẫn hoạt động bình thường.,11.97824230729447,108.4216122234828,Sáng,Tham quan,6,2
62,XQ Đà Lạt Sử Quán,"80A Đường Mai Anh Đào, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,2021,07:00–17:30,"XQ rất đẹp tham quan miễn phí, tranh nghệ thuật rất đẹp nên thử 1 lần để biết được lịch sử của dành thêu dệt",11.97824230729447,108.4477249676598,Sáng,Tham quan,6,3
63,Bảo tàng Lâm Đồng,"4 Đ. Hùng Vương, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,184,07:00–17:30,"Bảo tàng Lâm Đồng là bảo tàng tổng hợp (khảo cứu địa phương), hiện đang lưu giữ trên 15.000 hiện vật với nhiều sưu tập hiện vật độc đáo và quý hiếm.",11.940601445366298,108.45985880998875,Chiều,Tham quan,6,4
64,Làng Cổ Tích,"Vạn Thành, Làng Hoa, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,669,07:00–17:30,"Địa điểm du lịch nằm ở làng hoa Vạn Thành, với kiến trúc theo phương Tây, đặc biệt là các ngôi nhà Hobbit trong phim Chúa Nhẫn, nơi đây bán các sản phẩm Đông trùng Hạ Thảo và cafe chồn.",11.948870008600199,108.40289426765952,Chiều,Ăn uống ,6,5
65,KOMBI LAND COFFEE,"Mimosa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.7,907,07:00–22:00,"Trải nghiệm cũng khá thú vị tại đây, đường đi cũng cách trung tâm khá xa, giá vé là 90.000VND được tặng 1 đồ uống. Giá thì cũng khá ổn nhưng đồ uống chưa được chất lượng như các nơi khác (mô hình tương tự). Quán café ở Đà Lạt được nổi danh và dễ tìm thấy trên các kênh review về độ đẹp và “chất”.",11.899152577869259,108.46429313558232,Sáng,Ăn uống ,6,1
66,Đà Lạt View,"49 Khe Sanh, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.0,2137,07:00–22:00,Đây thực ra là một nhà hàng chuyên ăn sáng cho các đoàn du lịch nên cảnh quan khá bình thường. Chỉ có trên đồi nên khá thông thoáng.,11.933588230724215,108.4581071811532,Sáng,Ăn uống ,6,2
67,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.939592819778515,108.44516872533016,Chiều,Tham quan,6,3
68,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095448051,108.44890716765987,Trưa,Tham quan,6,4
69,Cafe Panorama Đà Lạt,"Vòng Xoay 723, Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.3,1313,07:00–22:00,"Panorama là quán cà phê mà mình nhớ là đã hoạt động từ lâu ở khu vực Thung Lũng Đèn, Trại Mát (hình như là một trong những quán đầu tiên). Các bạn phục vụ món uống nóng (trà gừng, cà phê) và yaourt ngon lắm. Quán có thiết kế mở nên mình tận hưởng được không khí mát lạnh buổi hoàng hôn Đà Lạt.",11.946867620937436,108.49025259649487,Sáng,Ăn uống ,7,1
